,site,cluster_label
0,www.briskheat.com,0
27,www.kartelllabware.com,0
6,hbc-system.com,0
39,www.sweere.net,0
38,www.suppliersof.com,0
9,poolcorp.info,0
31,www.millerwelds.com,0
23,www.hyspecs.co.nz,0
32,www.minipack.us,0
13,www.apimex.org,0
14,www.atio.cz,0
15,www.besseges-vtf.co.uk,0
3,de.jointeflons.com,1
4,de.plasticptfe.com,1
5,german.aiflon.com,1
33,www.polyfluor.nl,1
35,www.sandprofile.de,2
36,www.schreiber-berlin.de,2
40,www.wmh-herion.de,2
34,www.reinz-industrial.com,2
22,www.hufschmied.net,2
21,www.heckerwerke.de,2
20,www.h-t-w.at,2
8,mikro-technik.com,2
12,www.aikolon.fi,2
41,www.yachticon.de,2
42,www.zse.de,2
29,www.klinger-international.com,3
28,www.klinger-awschultze.de,3
19,www.gummigoetz.de,4
37,www.stoeffl.at,4
30,www.miac.com.br,5
18,www.gre.es,5
17,www.criscarreira.com,5
24,www.ictsl.net,5
7,lumaquin.com,5
1,barrocorestaurante.mx,5
26,www.jowat.com,6
11,www.ahlstrom-munksjo.com,6
10,www.aerchs.com,6
16,www.bostik.com,6
